brand,count,retailers,types,sample_products
Smucker's Squeeze,18,samsclub/walmart,LES COMTES DE PROVENCE 딸기잼; 오리히로 과일 곤약젤리; 본마망 무화과잼; 본마망 4프루츠잼; LES COMTES DE PROVENCE 멀티베리 스프레드,"Smucker's Squeeze Sugar Free Seedless Strawberry Jam, 16.5 oz Squeezable Bottle; Smucker's Squeeze Strawberry Fruit Spread, 2 pk.; Smucker's Squeeze Grape Fruit Spread, 3 pk."
Apple &,16,samsclub/walmart,JUVER 사과주스; TIPCO 오렌지자몽주스 (착즙),"Apple & Eve 100% Apple Juice, 6.75 fl oz, 8 Count; Apple & Eve 100% Juice Variety Pack, 6.75 fl. oz., 36 pk.; Apple & Eve 100% Apple Juice 10 oz., 24 pk."
Welch's Fruit,15,walmart,하리보 푸르티부시; GENERAL MILLS 후르츠 롤업 젤리,"Welch's Fruit Snacks, Mixed Fruit, Soft Kids Snacks, 0.8 oz, 22 Count; Welch's Fruit Snacks, Mixed Fruit, Soft Kids Snacks, 0.8 oz, 10 Count; Welch's Fruit 'N Yogurt Strawberry Soft Fruit Snacks, .7 oz, 20 Count"
Rao's Homemade,15,samsclub/walmart,RAO'S 마리나라소스; HEINZ 클레시코 알프레도소스; 데체코 바질페스토; AGROMONTE 토마토 파스타 소스,"Rao's Homemade Marinara Sauce Made with Italian Tomatoes, 32 oz; Rao's Homemade Sensitive Sauce Made with Italian Tomatoes, 24 oz; Rao's Homemade Marinara Sauce Made with Italian Tomatoes, 40 oz"
Smucker's Strawberry,13,samsclub/walmart,LES COMTES DE PROVENCE 딸기잼; 오리히로 과일 곤약젤리; 본마망 무화과잼; LES COMTES DE PROVENCE 멀티베리 스프레드,"Smucker's Strawberry Jam, 32 oz; Smucker's Strawberry Jam, Mixed Fruit and Concord Grape Jelly Assortment, 1/2 oz Plastic Portion Control Cup, 200-Count Case; Smucker's Strawberry Jam, Mixed Fruit & Concord Grape Jelly Assortment, 27 ct - Back to School"
Yo Mama's,11,samsclub/walmart,RAO'S 마리나라소스; HEINZ 클레시코 알프레도소스; 데체코 바질페스토; AGROMONTE 토마토 파스타 소스; RAGU 토마토 파스타소스,"Yo Mama's Foods Low-Sodium Marinara Pasta Sauce, 25 oz., 3 pk.; Yo Mama's Foods Low-Carb Italian Pasta Sauce Gift Box, 25 oz., 3 pk.; Yo Mama's Foods Low-Carb No Sugar Added Alfredo Sauce, 16 oz., 3 pk."
NERDS Gummy,11,walmart,하리보 스타믹스젤리; 하리보 메가 파티 젤리; 트롤리 올인원 젤리,"NERDS Gummy Clusters, Candy, Rainbow, Crunchy and Gummy, 3 oz Box; NERDS Gummy Clusters, Candy, Rainbow, Crunchy and Gummy, 8 oz Bag; NERDS Gummy Clusters, Candy, Very Berry, Crunchy and Gummy, 8 oz Bag"
Lee Kum,10,walmart,이금기 프리미엄 굴소스,"Lee Kum Kee Panda Brand Oyster Flavored Sauce, 9 oz Glass Bottle; Lee Kum Kee Panda Oyster Sauce, 18 oz; Lee Kum Kee Premium Oyster Sauce (11.5 oz Squeezable - 1 pack) Umami | Perfect for Stir-Frying, Drizzling, Grilling, Roasting, Glazing & Marinades"
Wasabi Peas,10,walmart,KASUGAI 와사비콩 스낵 (그린피스+잠두),Wasabi Peas - Crunchy Oriental Spicy Snack - by Its Delish 10 lbs; Wasabi Peas - Crunchy Oriental Spicy Snack - by Its Delish 1 lb; Wasabi Peas - Crunchy Oriental Spicy Snack - by Its Delish 2 lbs
Cheerios Protein,10,samsclub/walmart,MISURA 프로틴 플레이크; GENERAL MILLS 시나몬토스트크런치,"Cheerios Protein Cereal, Cinnamon, 8g Protein, Family Size, 15 oz; Cheerios Protein Cereal, Honey Nut, 8g Protein, Family Size, 14 oz; Cheerios Protein Cereal, Strawberry, 8g Protein, Family Size, 15 oz"
A.1. Original,10,samsclub/walmart,A1스테이크소스; 이금기 프리미엄 굴소스,"A.1. Original Sauce, 10 oz. Bottle; A.1. Original Sauce, 15 oz. Bottle; A.1. Original Sauce, 5 oz. Bottle"
Doritos Nacho,10,samsclub/walmart,엘로 토티야칩스; 도리토스 나초칩,"Doritos Nacho Cheese Flavored Tortilla Chips, 18.38 oz.; Doritos Nacho Cheese Tortilla Chips, 1 oz., 50 pk.; Doritos Nacho Cheese Tortilla Snack Chips,Party Size, 14.5 Ounce Bag"
BelGioioso Fresh,10,walmart,EURO POMELLA 부라타치즈,"BelGioioso Fresh Mozzarella Cheese Pearls Mini Snacking Cheese, 8 oz Refrigerated Plastic Packet; BelGioioso Fresh Mozzarella Sliced Log, 8 oz Refrigerated Plastic Packet; BelGioioso Fresh Mozzarella Cheese Ball, Specialty Soft Cheese, Refrigerated 8 oz Plastic Wrapping"
Nescafé Clasico,10,samsclub,스타벅스 미디엄 아메리카노; 스타벅스 다크아메리카노; 네스카페 테이스터스 초이스커피,"Nescafé Clasico Dark Roast Instant Coffee, 21 oz.; Nescafé Clasico Dark Roast Instant Coffee, 14.1 oz., 2 pk."
Maille Old,10,walmart,MAILLE 홀그레인 머스타드,"Maille Old Style Whole Grain Dijon Mustard, 7.3 oz Jar; Maille Old Style Whole Grain Dijon Mustard 7.3 oz; Maille Old Style Whole Grain Dijon Mustard 7.3 oz (Pack Of 1)"
Cracker Jack,8,samsclub/walmart,KRACKCORN 카라멜 팝콘; 카라멜팝콘 클래식,"Cracker Jack Crunchy Caramel Coated Popcorns & Peanuts 8.5oz Bag; Cracker Jack Original Caramel Coated Popcorn and Peanuts 1.25 oz., 30 pk."
Mott's 100%,8,samsclub/walmart,JUVER 사과주스; TIPCO 오렌지자몽주스 (착즙),"Mott's 100% Apple Juice, 64 Fluid Ounce, Bottle; Mott's 100% Apple Juice 86 fl. oz., 2 pk.; Mott's 100% Original  Apple Juice 8 fl. oz., 24 pk."
G.H. Cretors,8,walmart,KRACKCORN 카라멜 팝콘; 카라멜팝콘 클래식,"G.H. Cretors Handcrafted Small-Batch Cheese & Caramel Popcorn Mix, 7.5 oz, Gluten-Free Snack; G.H. Cretors Popped Caramel Corn, 8 oz - Gluten-Free Popcorn Treat"
Del Monte,8,samsclub,KASUGAI 와사비콩 스낵 (그린피스+잠두),"Del Monte Golden Sweet Whole Kernel Corn, 15.25 oz., 8 pk.; Del Monte Sweet Peas, 105 oz.; Del Monte Whole Kernel Corn, 106 oz."
Heinz Tomato,8,samsclub/walmart,하인즈 토마토 케찹,"Heinz Tomato Ketchup Inverted Squeeze Bottle, 1 Bottle, for Easy Sharing and Easy Serving, 32 oz; Heinz Tomato Ketchup, 14 oz Bottle; Heinz Tomato Ketchup Squeeze Bottle, 2 Bottles, for Easy Sharing and Easy Serving, Gluten-Free, 50.5 oz"
CRETORS Cheese,8,samsclub,KRACKCORN 카라멜 팝콘; 카라멜팝콘 클래식,"CRETORS Cheese & Caramel Flavored Popcorn Mix, 23.5 oz.; CRETORS Cheese & Caramel Mix Popcorn, 1.5 oz., 12 pk."
Garrett Popcorn,8,samsclub/walmart,KRACKCORN 카라멜 팝콘; 카라멜팝콘 클래식,"Garrett Popcorn Shops, CaramelCrisp, 7.5 oz; Garrett Popcorn Shops, Garrett Mix, 20 oz."
Hellmann's Real,8,samsclub/walmart,MAILLE 홀그레인 머스타드; 하인즈 굿마요네즈,"Hellmann's Real Mayonnaise, 64 fl. oz.; Hellmann's Real Mayonnaise, Sandwich Spread Condiments, 30 oz Jar; Hellmann's Real Mayonnaise Rich Creamy Condiment Gluten Free, 20 fl oz Squeeze Bottle"
Nescafe Azera,8,walmart,스타벅스 미디엄 아메리카노,"Nescafe Azera Americano Instant Coffee 140g, Imported from Britain; Nescafe Azera Americano Decaff Instant Coffee 90g, Imported from Britain; Nescafe Azera Americano Instant Coffee 90g, Imported from Britain"
(2 pack),8,walmart,타바스코핫소스; 체다치즈 크래커; 프링글스 오리지널 멀티팩; LIKE AIR 퍼프콘 클래식; AGROMONTE 토마토 파스타 소스,"(2 pack) Texas Pete Original Hot Sauce, 24 fl oz, Gluten-Free, Vegan, Kosher; (2 pack) Great Value White Cheddar Cheese Crackers, 12.4 oz; (2 pack) Pringles Salt and Vinegar Potato Crisps Chips, Lunch Snacks, 5.5 oz Canister"
Simply Lemonade,8,walmart,JUVER 레몬에이드,"Simply Lemonade Bottle, 52 fl oz; Simply Lemonade with Strawberry Bottle, 52 fl oz; Simply Lemonade with Raspberry Bottle, 52 fl oz"
Cheez-It Original,8,samsclub/walmart,체다치즈 크래커; 완두콩 크래커; NABISCO 리츠 오리지널; 덴로쿠 스낵믹스 (개별포장 믹스),"Cheez-It Original Cheese Crackers, Baked Snack Crackers, 12.4 oz; Cheez-It Original Baked Snack Crackers, 24 oz., 2 pk.; Cheez-It Original Baked Snack Crackers, 1.5 oz., 45 pk."
Ocean Spray,8,walmart,TIPCO 오렌지자몽주스 (착즙),"Ocean Spray Ruby Red Grapefruit Juice Drinks, 10 fl oz Bottles, 6 Count; Ocean Spray No Sugar Added 100% Grapefruit Juice; Ocean Spray Unsweetened Pure White Grapefruit Juice"
Catalina Crunch,7,samsclub/walmart,MISURA 프로틴 플레이크; GENERAL MILLS 시나몬토스트크런치,"Catalina Crunch Protein Cereal, Cinnamon Toast 9 oz; Catalina Crunch Cinnamon Toast Cereal, 22 oz.; Catalina Crunch Blueberry Muffin Cereal, 19 oz."
(12 pack),7,walmart,하인즈 토마토 케찹; NABISCO 오레오쿠키; 하인즈 유기농 토마토케찹; GENERAL MILLS 후르츠거거셔스 젤리,"(12 pack) Great Value Tomato Ketchup, 32 oz, Gluten Free, Allergy Friendly; (12 pack) Great Value Tomato Ketchup, 38 oz; (12 pack) Great Value Twist & Shout Chocolate Sandwich Cookies, 19.1 oz"
